# tau / ps;  MSD / pm^2;  Derivative
0.000000; 0.000000; 5950.203219
0.000500; 2.975102; 17668.150378
0.001000; 11.809177; 28864.910802
0.001500; 26.241632; 39263.572602
0.002000; 45.873418; 48640.442114
0.002500; 70.193640; 56818.807987
0.003000; 98.603044; 63696.919213
0.003500; 130.451503; 69273.118812
0.004000; 165.088063; 73624.662274
0.004500; 201.900394; 76866.251652
0.005000; 240.333520; 79141.967191
0.005500; 279.904503; 80632.597709
0.006000; 320.220802; 81541.841780
0.006500; 360.991723; 82050.408350
0.007000; 402.016927; 82293.802116
0.007500; 443.163828; 82369.102778
0.008000; 484.348379; 82343.179063
0.008500; 525.519969; 82240.226428
0.009000; 566.640082; 82023.909988
0.009500; 607.652037; 81611.495573
0.010000; 648.457785; 80903.868724
0.010500; 688.909719; 79804.929417
0.011000; 728.812184; 78215.428612
0.011500; 767.919898; 76040.478665
0.012000; 805.940138; 73215.763894
0.012500; 842.548020; 69726.945610
0.013000; 877.411492; 65605.444470
0.013500; 910.214215; 60912.728872
0.014000; 940.670579; 55742.657526
0.014500; 968.541908; 50223.665759
0.015000; 993.653741; 44508.885211
0.015500; 1015.908183; 38751.779464
0.016000; 1035.284073; 33095.382723
0.016500; 1051.831764; 27669.733120
0.017000; 1065.666631; 22582.626985
0.017500; 1076.957945; 17910.966299
0.018000; 1085.913428; 13698.598819
0.018500; 1092.762727; 9960.791654
0.019000; 1097.743123; 6684.913891
0.019500; 1101.085580; 3834.400720
0.020000; 1103.002780; 1362.079875
0.020500; 1103.683820; -778.691638
0.021000; 1103.294474; -2631.134730
0.021500; 1101.978907; -4232.792488
0.022000; 1099.862511; -5605.717176
0.022500; 1097.059652; -6750.290507
0.023000; 1093.684507; -7649.898022
0.023500; 1089.859558; -8277.500790
0.024000; 1085.720807; -8599.366938
0.024500; 1081.421124; -8578.065225
0.025000; 1077.132091; -8179.080234
0.025500; 1073.042551; -7380.047200
0.026000; 1069.352528; -6179.180166
0.026500; 1066.262938; -4593.773567
0.027000; 1063.966051; -2653.834626
0.027500; 1062.639134; -405.690113
0.028000; 1062.436288; 2082.987776
0.028500; 1063.477782; 4726.932743
0.029000; 1065.841249; 7439.391546
0.029500; 1069.560944; 10140.307704
0.030000; 1074.631098; 12753.209748
0.030500; 1081.007703; 15207.719474
0.031000; 1088.611563; 17452.907121
0.031500; 1097.338017; 19464.410653
0.032000; 1107.070222; 21235.023904
0.032500; 1117.687734; 22769.911271
0.033000; 1129.072689; 24090.568744
0.033500; 1141.117974; 25233.566918
0.034000; 1153.734757; 26237.037327
0.034500; 1166.853276; 27132.303152
0.035000; 1180.419427; 27944.091223
0.035500; 1194.391473; 28691.769296
0.036000; 1208.737358; 29382.913668
0.036500; 1223.428815; 30006.833168
0.037000; 1238.432231; 30538.142318
0.037500; 1253.701302; 30947.598633
0.038000; 1269.175102; 31207.101726
0.038500; 1284.778653; 31283.287103
0.039000; 1300.420296; 31140.650316
0.039500; 1315.990621; 30755.995601
0.040000; 1331.368619; 30129.038746
0.040500; 1346.433138; 29270.934146
0.041000; 1361.068605; 28195.990721
0.041500; 1375.166601; 26930.942113
0.042000; 1388.632072; 25523.246770
0.042500; 1401.393695; 24031.014927
0.043000; 1413.409203; 22506.250781
0.043500; 1424.662328; 20995.519786
0.044000; 1435.160088; 19542.648637
0.044500; 1444.931412; 18188.387203
0.045000; 1454.025606; 16965.034780
0.045500; 1462.508123; 15890.434085
0.046000; 1470.453340; 14967.820917
0.046500; 1477.937251; 14191.859145
0.047000; 1485.033180; 13555.225989
0.047500; 1491.810793; 13042.301462
0.048000; 1498.331944; 12626.873486
0.048500; 1504.645381; 12283.935962
0.049000; 1510.787349; 12005.743308
0.049500; 1516.790221; 11792.299973
0.050000; 1522.686370; 11634.619542
0.050500; 1528.503680; 11523.212798
0.051000; 1534.265287; 11464.986326
0.051500; 1539.997780; 11481.113559
0.052000; 1545.738337; 11581.842023
0.052500; 1551.529258; 11764.397794
0.053000; 1557.411457; 12025.514502
0.053500; 1563.424214; 12368.393580
0.054000; 1569.608411; 12791.489975
0.054500; 1576.004156; 13277.613422
0.055000; 1582.642962; 13800.367016
0.055500; 1589.543146; 14335.218201
0.056000; 1596.710755; 14864.778421
0.056500; 1604.143144; 15370.018583
0.057000; 1611.828153; 15827.402646
0.057500; 1619.741855; 16217.546193
0.058000; 1627.850628; 16534.239979
0.058500; 1636.117748; 16781.788634
0.059000; 1644.508642; 16965.544283
0.059500; 1652.991414; 17092.330522
0.060000; 1661.537579; 17173.246855
0.060500; 1670.124203; 17222.066801
0.061000; 1678.735236; 17251.608310
0.061500; 1687.361040; 17271.341757
0.062000; 1695.996711; 17285.723675
0.062500; 1704.639573; 17292.242819
0.063000; 1713.285695; 17284.606611
0.063500; 1721.927998; 17255.008050
0.064000; 1730.555502; 17190.627835
0.064500; 1739.150816; 17070.021486
0.065000; 1747.685827; 16869.060400
0.065500; 1756.120357; 16572.921658
0.066000; 1764.406818; 16177.314514
0.066500; 1772.495475; 15684.214456
0.067000; 1780.337582; 15102.755486
0.067500; 1787.888960; 14455.105927
0.068000; 1795.116513; 13776.287667
0.068500; 1802.004657; 13107.365794
0.069000; 1808.558340; 12489.872841
0.069500; 1814.803276; 11963.650729
0.070000; 1820.785101; 11565.616234
0.070500; 1826.567909; 11326.027520
0.071000; 1832.230923; 11265.446761
0.071500; 1837.863647; 11394.315581
0.072000; 1843.560804; 11712.508116
0.072500; 1849.417058; 12206.251323
0.073000; 1855.520184; 12847.103733
0.073500; 1861.943736; 13594.360112
0.074000; 1868.740916; 14400.338766
0.074500; 1875.941085; 15215.626841
0.075000; 1883.548899; 15992.839606
0.075500; 1891.545319; 16690.639610
0.076000; 1899.890638; 17279.827676
0.076500; 1908.530552; 17747.873297
0.077000; 1917.404489; 18096.896491
0.077500; 1926.452937; 18339.891180
0.078000; 1935.622883; 18500.579173
0.078500; 1944.873172; 18613.350418
0.079000; 1954.179848; 18717.059315
0.079500; 1963.538377; 18846.812017
0.080000; 1972.961783; 19032.642986
0.080500; 1982.478105; 19302.559257
0.081000; 1992.129384; 19680.026826
0.081500; 2001.969398; 20174.082434
0.082000; 2012.056439; 20775.627937
0.082500; 2022.444253; 21463.774173
0.083000; 2033.176140; 22212.012092
0.083500; 2044.282146; 22987.186658
0.084000; 2055.775739; 23748.342242
0.084500; 2067.649911; 24453.141395
0.085000; 2079.876481; 25067.337172
0.085500; 2092.410150; 25567.127149
0.086000; 2105.193713; 25934.760710
0.086500; 2118.161094; 26158.476381
0.087000; 2131.240332; 26237.337204
0.087500; 2144.359001; 26183.276925
0.088000; 2157.450639; 26017.393894
0.088500; 2170.459336; 25766.008258
0.089000; 2183.342340; 25459.715630
0.089500; 2196.072198; 25133.420912
0.090000; 2208.638908; 24823.452232
0.090500; 2221.050634; 24561.318125
0.091000; 2233.331294; 24369.047687
0.091500; 2245.515817; 24258.797556
0.092000; 2257.645216; 24233.797937
0.092500; 2269.762115; 24289.292564
0.093000; 2281.906761; 24413.001979
0.093500; 2294.113262; 24587.100014
0.094000; 2306.406812; 24792.642318
0.094500; 2318.803134; 25015.033805
0.095000; 2331.310650; 25244.614012
0.095500; 2343.932957; 25473.946232
0.096000; 2356.669931; 25698.209385
0.096500; 2369.519035; 25917.453315
0.097000; 2382.477762; 26135.231332
0.097500; 2395.545378; 26354.058072
0.098000; 2408.722407; 26574.421076
0.098500; 2422.009617; 26799.184137
0.099000; 2435.409209; 27037.869186
0.099500; 2448.928144; 27300.813009
0.100000; 2462.578550; 27590.028707
0.100500; 2476.373565; 27901.211976
0.101000; 2490.324171; 28231.461913
0.101500; 2504.439902; 28578.236676
0.102000; 2518.729020; 28929.873736
0.102500; 2533.193957; 29266.097355
0.103000; 2547.827005; 29567.185425
0.103500; 2562.610598; 29820.495293
0.104000; 2577.520846; 30017.697474
0.104500; 2592.529695; 30148.955328
0.105000; 2607.604172; 30205.896579
0.105500; 2622.707121; 30188.039340
0.106000; 2637.801140; 30101.869114
0.106500; 2652.852075; 29951.091847
0.107000; 2667.827621; 29735.216100
0.107500; 2682.695229; 29457.110707
0.108000; 2697.423784; 29129.791108
0.108500; 2711.988680; 28771.498497
0.109000; 2726.374429; 28394.592818
0.109500; 2740.571725; 28005.851302
0.110000; 2754.574651; 27612.220881
0.110500; 2768.380761; 27222.618040
0.111000; 2781.992070; 26839.722348
0.111500; 2795.411932; 26457.276947
0.112000; 2808.640570; 26065.782866
0.112500; 2821.673462; 25660.690602
0.113000; 2834.503807; 25242.207822
0.113500; 2847.124911; 24805.071288
0.114000; 2859.527446; 24338.573879
0.114500; 2871.696733; 23837.999241
0.115000; 2883.615733; 23312.369361
0.115500; 2895.271918; 22768.252877
0.116000; 2906.656044; 22202.524204
0.116500; 2917.757306; 21614.683541
0.117000; 2928.564648; 21020.122976
0.117500; 2939.074709; 20440.407076
0.118000; 2949.294913; 19885.797917
0.118500; 2959.237812; 19360.374051
0.119000; 2968.917999; 18866.883417
0.119500; 2978.351441; 18408.717207
0.120000; 2987.555799; 17990.441880
0.120500; 2996.551020; 17615.130159
0.121000; 3005.358585; 17281.801283
0.121500; 3013.999486; 16988.365267
0.122000; 3022.493669; 16738.090836
0.122500; 3030.862714; 16533.381451
0.123000; 3039.129405; 16368.707216
0.123500; 3047.313758; 16233.646009
0.124000; 3055.430581; 16123.455167
0.124500; 3063.492309; 16038.376562
0.125000; 3071.511497; 15972.384203
0.125500; 3079.497689; 15916.015891
0.126000; 3087.455697; 15872.590041
0.126500; 3095.391992; 15859.621942
0.127000; 3103.321803; 15886.033696
0.127500; 3111.264820; 15950.315519
0.128000; 3119.239978; 16054.434872
0.128500; 3127.267195; 16209.905317
0.129000; 3135.372148; 16424.846353
0.129500; 3143.584571; 16696.510558
0.130000; 3151.932826; 17018.393154
0.130500; 3160.442023; 17391.197437
0.131000; 3169.137622; 17824.796721
0.131500; 3178.050020; 18322.379002
0.132000; 3187.211210; 18877.114209
0.132500; 3196.649767; 19476.541360
0.133000; 3206.388037; 20103.157347
0.133500; 3216.439616; 20737.303302
0.134000; 3226.808268; 21360.211804
0.134500; 3237.488374; 21951.469224
0.135000; 3248.464108; 22489.976453
0.135500; 3259.709096; 22964.555250
0.136000; 3271.191374; 23373.217898
0.136500; 3282.877983; 23713.804901
0.137000; 3294.734885; 23983.202514
0.137500; 3306.726487; 24181.242584
0.138000; 3318.817108; 24313.094788
0.138500; 3330.973655; 24383.785073
0.139000; 3343.165548; 24394.577335
0.139500; 3355.362837; 24348.988964
0.140000; 3367.537331; 24261.297526
0.140500; 3379.667980; 24145.438792
0.141000; 3391.740699; 24002.898695
0.141500; 3403.742149; 23828.088524
0.142000; 3415.656193; 23620.381378
0.142500; 3427.466383; 23382.123712
0.143000; 3439.157445; 23104.732220
0.143500; 3450.709811; 22773.053836
0.144000; 3462.096338; 22384.718793
0.144500; 3473.288698; 21956.846349
0.145000; 3484.267121; 21500.568756
0.145500; 3495.017405; 21012.782778
0.146000; 3505.523797; 20495.656723
0.146500; 3515.771625; 19972.017183
0.147000; 3525.757634; 19469.197197
0.147500; 3535.492232; 18998.717025
0.148000; 3544.991591; 18565.702226
0.148500; 3554.274442; 18183.560486
0.149000; 3563.366222; 17871.884146
0.149500; 3572.302164; 0.000000
