# tau / ps;  MSD / pm^2;  Derivative
0.000000; 0.000000; 69579.855389
0.012000; 834.958265; 5750.164539
0.024000; 903.960239; 8528.248079
0.036000; 1006.299216; 23793.534613
0.048000; 1291.821631; 13751.372952
0.060000; 1456.838107; 10686.491602
0.072000; 1585.076006; 17798.660469
0.084000; 1798.659932; 20667.936375
0.096000; 2046.675168; 16656.591290
0.108000; 2246.554264; 15016.566547
0.120000; 2426.753062; 12150.312914
0.132000; 2572.556817; 16202.558762
0.144000; 2766.987522; 8996.192274
0.156000; 2874.941830; 12041.264726
0.168000; 3019.437006; 8199.989398
0.180000; 3117.836879; 7232.238114
0.192000; 3204.623737; 7861.565951
0.204000; 3298.962528; 9931.485903
0.216000; 3418.140359; 8346.325825
0.228000; 3518.296269; 7955.664046
0.240000; 3613.764237; 4286.808379
0.252000; 3665.205938; 5031.335317
0.264000; 3725.581962; 4687.631091
0.276000; 3781.833535; 6232.304509
0.288000; 3856.621189; 7485.875023
0.300000; 3946.451689; 7009.501565
0.312000; 4030.565708; 5289.004249
0.324000; 4094.033759; 5557.615845
0.336000; 4160.725149; 5543.833403
0.348000; 4227.251150; 5152.294256
0.360000; 4289.078681; 5325.068598
0.372000; 4352.979504; 4361.602361
0.384000; 4405.318732; 4334.981752
0.396000; 4457.338513; 4207.367453
0.408000; 4507.826923; 4555.053852
0.420000; 4562.487569; 4069.374210
0.432000; 4611.320060; 3264.721391
0.444000; 4650.496716; 2869.738312
0.456000; 4684.933576; 2092.387829
0.468000; 4710.042230; 2215.047130
0.480000; 4736.622796; 2713.855131
0.492000; 4769.189057; 2625.412396
0.504000; 4800.694006; 2736.594737
0.516000; 4833.533143; 1717.438007
0.528000; 4854.142399; 1669.981718
0.540000; 4874.182179; 1872.164766
0.552000; 4896.648157; 1582.272782
0.564000; 4915.635430; 2044.933836
0.576000; 4940.174636; 1965.444432
0.588000; 4963.759969; 1699.615214
0.600000; 4984.155352; 2048.462229
0.612000; 5008.736899; 2031.193184
0.624000; 5033.111217; 1381.836338
0.636000; 5049.693253; 1270.670500
0.648000; 5064.941299; 1492.690394
0.660000; 5082.853584; 853.691674
0.672000; 5093.097884; 1103.556239
0.684000; 5106.340558; 1764.964212
0.696000; 5127.520129; 1221.299302
0.708000; 5142.175721; 1270.654750
0.720000; 5157.423578; 1107.537620
