# Tau / ps;  Linear Fit to MSD / pm^2
6.0000;  10884.2022
6.0301;  10912.2610
6.0602;  10940.3198
6.0902;  10968.3786
6.1203;  10996.4373
6.1504;  11024.4961
6.1805;  11052.5549
6.2105;  11080.6137
6.2406;  11108.6725
6.2707;  11136.7312
6.3008;  11164.7900
6.3308;  11192.8488
6.3609;  11220.9076
6.3910;  11248.9663
6.4211;  11277.0251
6.4511;  11305.0839
6.4812;  11333.1427
6.5113;  11361.2015
6.5414;  11389.2602
6.5714;  11417.3190
6.6015;  11445.3778
6.6316;  11473.4366
6.6617;  11501.4953
6.6917;  11529.5541
6.7218;  11557.6129
6.7519;  11585.6717
6.7820;  11613.7305
6.8120;  11641.7892
6.8421;  11669.8480
6.8722;  11697.9068
6.9023;  11725.9656
6.9323;  11754.0244
6.9624;  11782.0831
6.9925;  11810.1419
7.0226;  11838.2007
7.0526;  11866.2595
7.0827;  11894.3182
7.1128;  11922.3770
7.1429;  11950.4358
7.1729;  11978.4946
7.2030;  12006.5534
7.2331;  12034.6121
7.2632;  12062.6709
7.2932;  12090.7297
7.3233;  12118.7885
7.3534;  12146.8473
7.3835;  12174.9060
7.4135;  12202.9648
7.4436;  12231.0236
7.4737;  12259.0824
7.5038;  12287.1411
7.5338;  12315.1999
7.5639;  12343.2587
7.5940;  12371.3175
7.6241;  12399.3763
7.6541;  12427.4350
7.6842;  12455.4938
7.7143;  12483.5526
7.7444;  12511.6114
7.7744;  12539.6701
7.8045;  12567.7289
7.8346;  12595.7877
7.8647;  12623.8465
7.8947;  12651.9053
7.9248;  12679.9640
7.9549;  12708.0228
7.9850;  12736.0816
8.0150;  12764.1404
8.0451;  12792.1992
8.0752;  12820.2579
8.1053;  12848.3167
8.1353;  12876.3755
8.1654;  12904.4343
8.1955;  12932.4930
8.2256;  12960.5518
8.2556;  12988.6106
8.2857;  13016.6694
8.3158;  13044.7282
8.3459;  13072.7869
8.3759;  13100.8457
8.4060;  13128.9045
8.4361;  13156.9633
8.4662;  13185.0220
8.4962;  13213.0808
8.5263;  13241.1396
8.5564;  13269.1984
8.5865;  13297.2572
8.6165;  13325.3159
8.6466;  13353.3747
8.6767;  13381.4335
8.7068;  13409.4923
8.7368;  13437.5511
8.7669;  13465.6098
8.7970;  13493.6686
8.8271;  13521.7274
8.8571;  13549.7862
8.8872;  13577.8449
8.9173;  13605.9037
8.9474;  13633.9625
8.9774;  13662.0213
9.0075;  13690.0801
9.0376;  13718.1388
9.0677;  13746.1976
9.0977;  13774.2564
9.1278;  13802.3152
9.1579;  13830.3739
9.1880;  13858.4327
9.2180;  13886.4915
9.2481;  13914.5503
9.2782;  13942.6091
9.3083;  13970.6678
9.3383;  13998.7266
9.3684;  14026.7854
9.3985;  14054.8442
9.4286;  14082.9030
9.4586;  14110.9617
9.4887;  14139.0205
9.5188;  14167.0793
9.5489;  14195.1381
9.5789;  14223.1968
9.6090;  14251.2556
9.6391;  14279.3144
9.6692;  14307.3732
9.6992;  14335.4320
9.7293;  14363.4907
9.7594;  14391.5495
9.7895;  14419.6083
9.8195;  14447.6671
9.8496;  14475.7259
9.8797;  14503.7846
9.9098;  14531.8434
9.9398;  14559.9022
9.9699;  14587.9610
10.0000;  14616.0197
10.0301;  14644.0785
10.0602;  14672.1373
10.0902;  14700.1961
10.1203;  14728.2549
10.1504;  14756.3136
10.1805;  14784.3724
10.2105;  14812.4312
10.2406;  14840.4900
10.2707;  14868.5487
10.3008;  14896.6075
10.3308;  14924.6663
10.3609;  14952.7251
10.3910;  14980.7839
10.4211;  15008.8426
10.4511;  15036.9014
10.4812;  15064.9602
10.5113;  15093.0190
10.5414;  15121.0778
10.5714;  15149.1365
10.6015;  15177.1953
10.6316;  15205.2541
10.6617;  15233.3129
10.6917;  15261.3716
10.7218;  15289.4304
10.7519;  15317.4892
10.7820;  15345.5480
10.8120;  15373.6068
10.8421;  15401.6655
10.8722;  15429.7243
10.9023;  15457.7831
10.9323;  15485.8419
10.9624;  15513.9006
10.9925;  15541.9594
11.0226;  15570.0182
11.0526;  15598.0770
11.0827;  15626.1358
11.1128;  15654.1945
11.1429;  15682.2533
11.1729;  15710.3121
11.2030;  15738.3709
11.2331;  15766.4297
11.2632;  15794.4884
11.2932;  15822.5472
11.3233;  15850.6060
11.3534;  15878.6648
11.3835;  15906.7235
11.4135;  15934.7823
11.4436;  15962.8411
11.4737;  15990.8999
11.5038;  16018.9587
11.5338;  16047.0174
11.5639;  16075.0762
11.5940;  16103.1350
11.6241;  16131.1938
11.6541;  16159.2525
11.6842;  16187.3113
11.7143;  16215.3701
11.7444;  16243.4289
11.7744;  16271.4877
11.8045;  16299.5464
11.8346;  16327.6052
11.8647;  16355.6640
11.8947;  16383.7228
11.9248;  16411.7816
11.9549;  16439.8403
11.9850;  16467.8991
