# Tau / ps;  Vector autocorrelation;  1-exp fit;  2-exp fit;  3-exp fit
0.000000000;  1.000000000; 0.9745559485; 0.9997240820; 1.000022397
0.0005000000000;  0.9999959426; 0.9745427382; 0.9996137391; 0.9998565966
0.001000000000;  0.9999837931; 0.9745295282; 0.9995035154; 0.9996911567
0.001500000000;  0.9999636052; 0.9745163182; 0.9993934107; 0.9995260762
0.002000000000;  0.9999354446; 0.9745031085; 0.9992834251; 0.9993613541
0.002500000000;  0.9998993945; 0.9744898990; 0.9991735582; 0.9991969897
0.003000000000;  0.9998555739; 0.9744766896; 0.9990638100; 0.9990329821
0.003500000000;  0.9998041376; 0.9744634804; 0.9989541804; 0.9988693305
0.004000000000;  0.9997452536; 0.9744502714; 0.9988446692; 0.9987060339
0.004500000000;  0.9996790937; 0.9744370626; 0.9987352762; 0.9985430917
0.005000000000;  0.9996058470; 0.9744238539; 0.9986260013; 0.9983805029
0.005500000000;  0.9995257313; 0.9744106455; 0.9985168444; 0.9982182667
0.006000000000;  0.9994389803; 0.9743974372; 0.9984078054; 0.9980563823
0.006500000000;  0.9993458264; 0.9743842291; 0.9982988841; 0.9978948488
0.007000000000;  0.9992465031; 0.9743710211; 0.9981900804; 0.9977336654
0.007500000000;  0.9991412591; 0.9743578134; 0.9980813940; 0.9975728313
0.008000000000;  0.9990303593; 0.9743446058; 0.9979728250; 0.9974123456
0.008500000000;  0.9989140697; 0.9743313984; 0.9978643732; 0.9972522076
0.009000000000;  0.9987926499; 0.9743181912; 0.9977560383; 0.9970924164
0.009500000000;  0.9986663619; 0.9743049841; 0.9976478204; 0.9969329711
0.01000000000;  0.9985354794; 0.9742917773; 0.9975397192; 0.9967738710
0.01050000000;  0.9984002807; 0.9742785706; 0.9974317346; 0.9966151153
0.01100000000;  0.9982610376; 0.9742653641; 0.9973238665; 0.9964567031
0.01150000000;  0.9981180161; 0.9742521578; 0.9972161148; 0.9962986336
0.01200000000;  0.9979714850; 0.9742389516; 0.9971084792; 0.9961409059
0.01250000000;  0.9978217163; 0.9742257457; 0.9970009597; 0.9959835194
0.01300000000;  0.9976689771; 0.9742125399; 0.9968935562; 0.9958264732
0.01350000000;  0.9975135238; 0.9741993343; 0.9967862684; 0.9956697665
0.01400000000;  0.9973556063; 0.9741861288; 0.9966790963; 0.9955133984
0.01450000000;  0.9971954716; 0.9741729236; 0.9965720398; 0.9953573682
0.01500000000;  0.9970333604; 0.9741597185; 0.9964650986; 0.9952016751
0.01550000000;  0.9968695015; 0.9741465136; 0.9963582727; 0.9950463183
0.01600000000;  0.9967041112; 0.9741333089; 0.9962515619; 0.9948912969
0.01650000000;  0.9965373966; 0.9741201044; 0.9961449661; 0.9947366102
0.01700000000;  0.9963695567; 0.9741069000; 0.9960384851; 0.9945822575
0.01750000000;  0.9962007786; 0.9740936959; 0.9959321189; 0.9944282378
0.01800000000;  0.9960312366; 0.9740804919; 0.9958258673; 0.9942745504
0.01850000000;  0.9958610936; 0.9740672880; 0.9957197301; 0.9941211946
0.01900000000;  0.9956905034; 0.9740540844; 0.9956137072; 0.9939681695
0.01950000000;  0.9955196096; 0.9740408809; 0.9955077985; 0.9938154744
0.02000000000;  0.9953485459; 0.9740276777; 0.9954020039; 0.9936631084
0.02050000000;  0.9951774361; 0.9740144746; 0.9952963232; 0.9935110709
0.02100000000;  0.9950063961; 0.9740012716; 0.9951907562; 0.9933593610
0.02150000000;  0.9948355341; 0.9739880689; 0.9950853030; 0.9932079779
0.02200000000;  0.9946649510; 0.9739748663; 0.9949799632; 0.9930569209
0.02250000000;  0.9944947416; 0.9739616640; 0.9948747368; 0.9929061892
0.02300000000;  0.9943249947; 0.9739484617; 0.9947696237; 0.9927557821
0.02350000000;  0.9941557940; 0.9739352597; 0.9946646237; 0.9926056987
0.02400000000;  0.9939872176; 0.9739220579; 0.9945597367; 0.9924559382
0.02450000000;  0.9938193398; 0.9739088562; 0.9944549626; 0.9923065001
0.02500000000;  0.9936522319; 0.9738956547; 0.9943503011; 0.9921573834
0.02550000000;  0.9934859615; 0.9738824534; 0.9942457523; 0.9920085874
0.02600000000;  0.9933205923; 0.9738692523; 0.9941413160; 0.9918601113
0.02650000000;  0.9931561853; 0.9738560513; 0.9940369919; 0.9917119545
0.02700000000;  0.9929928002; 0.9738428505; 0.9939327801; 0.9915641161
0.02750000000;  0.9928304959; 0.9738296499; 0.9938286803; 0.9914165953
0.02800000000;  0.9926693291; 0.9738164495; 0.9937246925; 0.9912693915
0.02850000000;  0.9925093539; 0.9738032493; 0.9936208165; 0.9911225039
0.02900000000;  0.9923506251; 0.9737900492; 0.9935170521; 0.9909759317
0.02950000000;  0.9921931981; 0.9737768493; 0.9934133993; 0.9908296742
0.03000000000;  0.9920371287; 0.9737636496; 0.9933098580; 0.9906837307
0.03050000000;  0.9918824707; 0.9737504501; 0.9932064279; 0.9905381003
0.03100000000;  0.9917292782; 0.9737372508; 0.9931031089; 0.9903927824
0.03150000000;  0.9915776072; 0.9737240516; 0.9929999010; 0.9902477762
0.03200000000;  0.9914275155; 0.9737108526; 0.9928968040; 0.9901030810
0.03250000000;  0.9912790600; 0.9736976538; 0.9927938177; 0.9899586961
0.03300000000;  0.9911322959; 0.9736844552; 0.9926909421; 0.9898146206
0.03350000000;  0.9909872796; 0.9736712567; 0.9925881770; 0.9896708539
0.03400000000;  0.9908440696; 0.9736580585; 0.9924855223; 0.9895273953
0.03450000000;  0.9907027239; 0.9736448604; 0.9923829778; 0.9893842440
0.03500000000;  0.9905632973; 0.9736316625; 0.9922805435; 0.9892413992
0.03550000000;  0.9904258424; 0.9736184647; 0.9921782191; 0.9890988604
0.03600000000;  0.9902904126; 0.9736052672; 0.9920760046; 0.9889566266
0.03650000000;  0.9901570608; 0.9735920698; 0.9919738998; 0.9888146973
0.03700000000;  0.9900258361; 0.9735788726; 0.9918719047; 0.9886730717
0.03750000000;  0.9898967815; 0.9735656756; 0.9917700190; 0.9885317491
0.03800000000;  0.9897699374; 0.9735524788; 0.9916682427; 0.9883907287
0.03850000000;  0.9896453435; 0.9735392821; 0.9915665756; 0.9882500099
0.03900000000;  0.9895230351; 0.9735260856; 0.9914650175; 0.9881095919
0.03950000000;  0.9894030396; 0.9735128893; 0.9913635685; 0.9879694740
0.04000000000;  0.9892853772; 0.9734996932; 0.9912622283; 0.9878296555
0.04050000000;  0.9891700652; 0.9734864973; 0.9911609968; 0.9876901358
0.04100000000;  0.9890571169; 0.9734733015; 0.9910598739; 0.9875509140
0.04150000000;  0.9889465373; 0.9734601059; 0.9909588595; 0.9874119895
0.04200000000;  0.9888383210; 0.9734469105; 0.9908579534; 0.9872733616
0.04250000000;  0.9887324560; 0.9734337153; 0.9907571555; 0.9871350296
0.04300000000;  0.9886289259; 0.9734205202; 0.9906564656; 0.9869969928
0.04350000000;  0.9885277075; 0.9734073253; 0.9905558838; 0.9868592504
0.04400000000;  0.9884287660; 0.9733941307; 0.9904554097; 0.9867218019
0.04450000000;  0.9883320566; 0.9733809361; 0.9903550434; 0.9865846464
0.04500000000;  0.9882375288; 0.9733677418; 0.9902547846; 0.9864477833
0.04550000000;  0.9881451266; 0.9733545476; 0.9901546333; 0.9863112120
0.04600000000;  0.9880547843; 0.9733413537; 0.9900545893; 0.9861749316
0.04650000000;  0.9879664252; 0.9733281599; 0.9899546525; 0.9860389416
0.04700000000;  0.9878799646; 0.9733149663; 0.9898548228; 0.9859032413
0.04750000000;  0.9877953135; 0.9733017728; 0.9897551001; 0.9857678298
0.04800000000;  0.9877123760; 0.9732885796; 0.9896554841; 0.9856327067
0.04850000000;  0.9876310467; 0.9732753865; 0.9895559749; 0.9854978711
0.04900000000;  0.9875512119; 0.9732621936; 0.9894565722; 0.9853633225
0.04950000000;  0.9874727530; 0.9732490008; 0.9893572760; 0.9852290601
0.05000000000;  0.9873955475; 0.9732358083; 0.9892580861; 0.9850950832
0.05050000000;  0.9873194666; 0.9732226159; 0.9891590024; 0.9849613912
0.05100000000;  0.9872443749; 0.9732094237; 0.9890600248; 0.9848279834
0.05150000000;  0.9871701323; 0.9731962317; 0.9889611531; 0.9846948592
0.05200000000;  0.9870965962; 0.9731830399; 0.9888623873; 0.9845620178
0.05250000000;  0.9870236213; 0.9731698482; 0.9887637272; 0.9844294586
0.05300000000;  0.9869510589; 0.9731566568; 0.9886651726; 0.9842971809
0.05350000000;  0.9868787577; 0.9731434655; 0.9885667235; 0.9841651841
0.05400000000;  0.9868065654; 0.9731302744; 0.9884683798; 0.9840334674
0.05450000000;  0.9867343291; 0.9731170834; 0.9883701413; 0.9839020303
0.05500000000;  0.9866618958; 0.9731038927; 0.9882720078; 0.9837708721
0.05550000000;  0.9865891138; 0.9730907021; 0.9881739793; 0.9836399921
0.05600000000;  0.9865158327; 0.9730775117; 0.9880760557; 0.9835093896
0.05650000000;  0.9864419031; 0.9730643215; 0.9879782368; 0.9833790640
0.05700000000;  0.9863671776; 0.9730511314; 0.9878805225; 0.9832490146
0.05750000000;  0.9862915132; 0.9730379416; 0.9877829126; 0.9831192409
0.05800000000;  0.9862147717; 0.9730247519; 0.9876854072; 0.9829897420
0.05850000000;  0.9861368182; 0.9730115624; 0.9875880059; 0.9828605175
0.05900000000;  0.9860575201; 0.9729983730; 0.9874907088; 0.9827315666
0.05950000000;  0.9859767501; 0.9729851839; 0.9873935156; 0.9826028886
0.06000000000;  0.9858943889; 0.9729719949; 0.9872964263; 0.9824744830
0.06050000000;  0.9858103235; 0.9729588061; 0.9871994408; 0.9823463491
0.06100000000;  0.9857244439; 0.9729456175; 0.9871025589; 0.9822184863
0.06150000000;  0.9856366440; 0.9729324291; 0.9870057805; 0.9820908939
0.06200000000;  0.9855468265; 0.9729192408; 0.9869091055; 0.9819635712
0.06250000000;  0.9854549035; 0.9729060528; 0.9868125337; 0.9818365177
0.06300000000;  0.9853607923; 0.9728928649; 0.9867160651; 0.9817097326
0.06350000000;  0.9852644124; 0.9728796771; 0.9866196995; 0.9815832155
0.06400000000;  0.9851656905; 0.9728664896; 0.9865234369; 0.9814569655
0.06450000000;  0.9850645641; 0.9728533022; 0.9864272769; 0.9813309822
0.06500000000;  0.9849609789; 0.9728401151; 0.9863312197; 0.9812052648
0.06550000000;  0.9848548836; 0.9728269281; 0.9862352650; 0.9810798127
0.06600000000;  0.9847462306; 0.9728137412; 0.9861394127; 0.9809546254
0.06650000000;  0.9846349818; 0.9728005546; 0.9860436627; 0.9808297021
0.06700000000;  0.9845211100; 0.9727873681; 0.9859480149; 0.9807050423
0.06750000000;  0.9844045934; 0.9727741818; 0.9858524692; 0.9805806453
0.06800000000;  0.9842854116; 0.9727609957; 0.9857570254; 0.9804565106
