# Tau / ps;  Linear Fit to MSD / pm^2
0.0750;  1883.0451
0.0754;  1891.8009
0.0758;  1900.5566
0.0761;  1909.3124
0.0765;  1918.0682
0.0769;  1926.8239
0.0773;  1935.5797
0.0776;  1944.3354
0.0780;  1953.0912
0.0784;  1961.8470
0.0788;  1970.6027
0.0791;  1979.3585
0.0795;  1988.1143
0.0799;  1996.8700
0.0803;  2005.6258
0.0806;  2014.3816
0.0810;  2023.1373
0.0814;  2031.8931
0.0818;  2040.6489
0.0821;  2049.4046
0.0825;  2058.1604
0.0829;  2066.9162
0.0833;  2075.6719
0.0836;  2084.4277
0.0840;  2093.1835
0.0844;  2101.9392
0.0848;  2110.6950
0.0852;  2119.4507
0.0855;  2128.2065
0.0859;  2136.9623
0.0863;  2145.7180
0.0867;  2154.4738
0.0870;  2163.2296
0.0874;  2171.9853
0.0878;  2180.7411
0.0882;  2189.4969
0.0885;  2198.2526
0.0889;  2207.0084
0.0893;  2215.7642
0.0897;  2224.5199
0.0900;  2233.2757
0.0904;  2242.0315
0.0908;  2250.7872
0.0912;  2259.5430
0.0915;  2268.2988
0.0919;  2277.0545
0.0923;  2285.8103
0.0927;  2294.5660
0.0930;  2303.3218
0.0934;  2312.0776
0.0938;  2320.8333
0.0942;  2329.5891
0.0945;  2338.3449
0.0949;  2347.1006
0.0953;  2355.8564
0.0957;  2364.6122
0.0961;  2373.3679
0.0964;  2382.1237
0.0968;  2390.8795
0.0972;  2399.6352
0.0976;  2408.3910
0.0979;  2417.1468
0.0983;  2425.9025
0.0987;  2434.6583
0.0991;  2443.4140
0.0994;  2452.1698
0.0998;  2460.9256
0.1002;  2469.6813
0.1006;  2478.4371
0.1009;  2487.1929
0.1013;  2495.9486
0.1017;  2504.7044
0.1021;  2513.4602
0.1024;  2522.2159
0.1028;  2530.9717
0.1032;  2539.7275
0.1036;  2548.4832
0.1039;  2557.2390
0.1043;  2565.9948
0.1047;  2574.7505
0.1051;  2583.5063
0.1055;  2592.2621
0.1058;  2601.0178
0.1062;  2609.7736
0.1066;  2618.5293
0.1070;  2627.2851
0.1073;  2636.0409
0.1077;  2644.7966
0.1081;  2653.5524
0.1085;  2662.3082
0.1088;  2671.0639
0.1092;  2679.8197
0.1096;  2688.5755
0.1100;  2697.3312
0.1103;  2706.0870
0.1107;  2714.8428
0.1111;  2723.5985
0.1115;  2732.3543
0.1118;  2741.1101
0.1122;  2749.8658
0.1126;  2758.6216
0.1130;  2767.3774
0.1133;  2776.1331
0.1137;  2784.8889
0.1141;  2793.6446
0.1145;  2802.4004
0.1148;  2811.1562
0.1152;  2819.9119
0.1156;  2828.6677
0.1160;  2837.4235
0.1164;  2846.1792
0.1167;  2854.9350
0.1171;  2863.6908
0.1175;  2872.4465
0.1179;  2881.2023
0.1182;  2889.9581
0.1186;  2898.7138
0.1190;  2907.4696
0.1194;  2916.2254
0.1197;  2924.9811
0.1201;  2933.7369
0.1205;  2942.4927
0.1209;  2951.2484
0.1212;  2960.0042
0.1216;  2968.7599
0.1220;  2977.5157
0.1224;  2986.2715
0.1227;  2995.0272
0.1231;  3003.7830
0.1235;  3012.5388
0.1239;  3021.2945
0.1242;  3030.0503
0.1246;  3038.8061
0.1250;  3047.5618
0.1254;  3056.3176
0.1258;  3065.0734
0.1261;  3073.8291
0.1265;  3082.5849
0.1269;  3091.3407
0.1273;  3100.0964
0.1276;  3108.8522
0.1280;  3117.6080
0.1284;  3126.3637
0.1288;  3135.1195
0.1291;  3143.8752
0.1295;  3152.6310
0.1299;  3161.3868
0.1303;  3170.1425
0.1306;  3178.8983
0.1310;  3187.6541
0.1314;  3196.4098
0.1318;  3205.1656
0.1321;  3213.9214
0.1325;  3222.6771
0.1329;  3231.4329
0.1333;  3240.1887
0.1336;  3248.9444
0.1340;  3257.7002
0.1344;  3266.4560
0.1348;  3275.2117
0.1352;  3283.9675
0.1355;  3292.7233
0.1359;  3301.4790
0.1363;  3310.2348
0.1367;  3318.9905
0.1370;  3327.7463
0.1374;  3336.5021
0.1378;  3345.2578
0.1382;  3354.0136
0.1385;  3362.7694
0.1389;  3371.5251
0.1393;  3380.2809
0.1397;  3389.0367
0.1400;  3397.7924
0.1404;  3406.5482
0.1408;  3415.3040
0.1412;  3424.0597
0.1415;  3432.8155
0.1419;  3441.5713
0.1423;  3450.3270
0.1427;  3459.0828
0.1430;  3467.8386
0.1434;  3476.5943
0.1438;  3485.3501
0.1442;  3494.1058
0.1445;  3502.8616
0.1449;  3511.6174
0.1453;  3520.3731
0.1457;  3529.1289
0.1461;  3537.8847
0.1464;  3546.6404
0.1468;  3555.3962
0.1472;  3564.1520
0.1476;  3572.9077
0.1479;  3581.6635
0.1483;  3590.4193
0.1487;  3599.1750
0.1491;  3607.9308
0.1494;  3616.6866
0.1498;  3625.4423
