# Tau / ps;  Vector autocorrelation;  1-exp fit;  2-exp fit;  3-exp fit
0.000000000;  1.000000000; 1.000355384; 1.000237796; 1.001642320
0.0005000000000;  0.9999959000; 1.000117989; 0.9999721448; 1.000804223
0.001000000000;  0.9999836179; 0.9998806509; 0.9997065643; 0.9999668641
0.001500000000;  0.9999632013; 0.9996433689; 0.9994410542; 0.9991302419
0.002000000000;  0.9999347132; 0.9994061432; 0.9991756147; 0.9982943561
0.002500000000;  0.9998982330; 0.9991689738; 0.9989102457; 0.9974592060
0.003000000000;  0.9998538713; 0.9989318607; 0.9986449472; 0.9966247909
0.003500000000;  0.9998017707; 0.9986948038; 0.9983797191; 0.9957911102
0.004000000000;  0.9997420869; 0.9984578032; 0.9981145615; 0.9949581633
0.004500000000;  0.9996749777; 0.9982208589; 0.9978494743; 0.9941259494
0.005000000000;  0.9996006168; 0.9979839707; 0.9975844575; 0.9932944679
0.005500000000;  0.9995192067; 0.9977471388; 0.9973195110; 0.9924637182
0.006000000000;  0.9994309668; 0.9975103631; 0.9970546350; 0.9916336996
0.006500000000;  0.9993361105; 0.9972736436; 0.9967898293; 0.9908044115
0.007000000000;  0.9992348482; 0.9970369803; 0.9965250939; 0.9899758531
0.007500000000;  0.9991274081; 0.9968003731; 0.9962604288; 0.9891480239
0.008000000000;  0.9990140406; 0.9965638220; 0.9959958341; 0.9883209232
0.008500000000;  0.9988949959; 0.9963273271; 0.9957313096; 0.9874945502
0.009000000000;  0.9987705115; 0.9960908884; 0.9954668553; 0.9866689045
0.009500000000;  0.9986408301; 0.9958545057; 0.9952024713; 0.9858439853
0.01000000000;  0.9985062163; 0.9956181791; 0.9949381575; 0.9850197920
0.01050000000;  0.9983669456; 0.9953819087; 0.9946739139; 0.9841963238
0.01100000000;  0.9982232789; 0.9951456943; 0.9944097405; 0.9833735803
0.01150000000;  0.9980754650; 0.9949095359; 0.9941456372; 0.9825515607
0.01200000000;  0.9979237636; 0.9946734336; 0.9938816041; 0.9817302643
0.01250000000;  0.9977684501; 0.9944373873; 0.9936176411; 0.9809096906
0.01300000000;  0.9976097932; 0.9942013970; 0.9933537482; 0.9800898389
0.01350000000;  0.9974480394; 0.9939654628; 0.9930899255; 0.9792707084
0.01400000000;  0.9972834286; 0.9937295845; 0.9928261727; 0.9784522987
0.01450000000;  0.9971162126; 0.9934937622; 0.9925624900; 0.9776346090
0.01500000000;  0.9969466452; 0.9932579958; 0.9922988774; 0.9768176387
0.01550000000;  0.9967749567; 0.9930222855; 0.9920353348; 0.9760013871
0.01600000000;  0.9966013540; 0.9927866310; 0.9917718621; 0.9751858536
0.01650000000;  0.9964260433; 0.9925510325; 0.9915084595; 0.9743710376
0.01700000000;  0.9962492390; 0.9923154899; 0.9912451267; 0.9735569384
0.01750000000;  0.9960711440; 0.9920800031; 0.9909818640; 0.9727435554
0.01800000000;  0.9958919324; 0.9918445723; 0.9907186711; 0.9719308878
0.01850000000;  0.9957117653; 0.9916091973; 0.9904555482; 0.9711189352
0.01900000000;  0.9955308124; 0.9913738782; 0.9901924951; 0.9703076968
0.01950000000;  0.9953492479; 0.9911386150; 0.9899295119; 0.9694971721
0.02000000000;  0.9951672248; 0.9909034075; 0.9896665985; 0.9686873603
0.02050000000;  0.9949848724; 0.9906682559; 0.9894037550; 0.9678782608
0.02100000000;  0.9948023204; 0.9904331601; 0.9891409813; 0.9670698730
0.02150000000;  0.9946197103; 0.9901981201; 0.9888782773; 0.9662621962
0.02200000000;  0.9944371776; 0.9899631358; 0.9886156432; 0.9654552299
0.02250000000;  0.9942548323; 0.9897282073; 0.9883530788; 0.9646489733
0.02300000000;  0.9940727737; 0.9894933346; 0.9880905841; 0.9638434258
